Text,Sentiment,Source,Date/Time,User ID,Location,Confidence Score
I love this product!,Positive,Twitter,15/06/2023 9:23,@user123,New York,0.85
The service was terrible.,Negative,Yelp Reviews,15/06/2023 11:45,user456,Los Angeles,0.65
This movie is amazing!,Positive,IMDb,15/06/2023 14:10,moviefan789,London,0.92
"No bugs so far, works okay.", Neutral
"Battery life is acceptable.", Neutral
The quality seems standard for the price.,Neutral
I'm so disappointed with their customer support.,Negative,Online Forum,15/06/2023 17:35,forumuser1,Toronto,0.78
Just had the best meal of my life!,Positive,TripAdvisor,16/06/2023 8:50,foodie22,Paris,0.88
The quality of this product is subpar.,Negative,Amazon Reviews,16/06/2023 10:15,shopper123,San Francisco,0.72
I can't stop listening to this song. It's incredible!,Positive,Spotify,16/06/2023 13:40,musiclover456,Berlin,0.91
Their website is so user-friendly. Love it!,Positive,Website Testimonial,16/06/2023 16:05,testimonialuser1,Sydney,0.87
I loved the movie! It was fantastic!,Positive,IMDb,02/07/2023 9:12,user123,New York,0.92
Nothing to complain about but nothing special either.,Neutral
The customer service was terrible.,Negative,Yelp Reviews,02/07/2023 10:45,user456,Los Angeles,0.65
This book made me feel inspired. Highly recommended!,Positive,Goodreads,02/07/2023 12:34,bookworm789,London,0.88
I'm extremely disappointed with their product quality.,Negative,Online Store,02/07/2023 15:21,shopper789,San Francisco,0.72
"Setup was easy and straightforward.", Neutral
Just had the most amazing vacation! I can't wait to go back.,Positive,TripAdvisor,02/07/2023 18:01,travelenthusiast1,Sydney,0.93
The food at this restaurant was awful. Never going back again!,Negative,Zomato,02/07/2023 20:45,foodlover123,Mumbai,0.55
I can't stop listening to this song. It's my new favorite!,Positive,Spotify,03/07/2023 9:17,musiclover789,Berlin,0.91
It does the job as expected.,Neutral
Their website is so confusing and poorly designed.,Negative,Website Review,03/07/2023 11:59,user789,Toronto,0.68
I had an incredible experience at the theme park. So much fun!,Positive,Trip Report,03/07/2023 14:40,thrillseeker1,Orlando,0.89
The product arrived damaged. Very disappointed.,Negative,Online Store,03/07/2023 17:25,buyer123,Chicago,0.76
The concert was absolutely breathtaking. Best performance ever!,Positive,Event Review,03/07/2023 20:15,musicfan456,Paris,0.95
I had a terrible experience with their customer support.,Negative,Online Chat,04/07/2023 8:32,user1234,Sydney,0.61
This movie is a masterpiece! I was blown away.,Positive,IMDb,04/07/2023 14:05,cinephile789,Los Angeles,0.93
"Notifications work as expected.", Neutral
